name,balance,bankrollType,behaviorStyle,mood,blacklisted,pokerParticipation,pokerAggression,pokerSkill
Player-0001,150,LOW_ROLLER,OBNOXIOUS,-0.03,false,0.17,0.46,0.27
Player-0002,205,LOW_ROLLER,LOW_STAKES,-0.12,false,0.24,0.2,0.36
Player-0003,5399,HIGH_ROLLER,GRINDER,-0.14,false,0.52,0.48,0.7
Player-0004,564,LOW_ROLLER,OBNOXIOUS,0.31,true,0.24,0.49,0.33
Player-0005,151,LOW_ROLLER,LOW_STAKES,0.41,false,0.27,0.12,0.4
Player-0006,1284,EVEN_STEVEN,OBNOXIOUS,-0.08,false,0.17,0.48,0.31
Player-0007,270,LOW_ROLLER,LOW_STAKES,0.47,false,0.22,0.2,0.43
Player-0008,161,LOW_ROLLER,LOW_STAKES,-0.13,false,0.2,0.17,0.36
Player-0009,20888,HIGH_ROLLER,OBNOXIOUS,0.33,false,0.22,0.48,0.3
Player-0010,290,LOW_ROLLER,LOW_STAKES,0.21,false,0.3,0.12,0.43
Player-0011,762,EVEN_STEVEN,GRINDER,-0.13,false,0.52,0.47,0.73
Player-0012,238,LOW_ROLLER,LOW_STAKES,-0.25,false,0.22,0.16,0.43
Player-0013,232,LOW_ROLLER,LOW_STAKES,0.34,false,0.24,0.12,0.44
Player-0014,178,LOW_ROLLER,LOW_STAKES,-0.12,false,0.25,0.12,0.39
Player-0015,531,EVEN_STEVEN,GRINDER,0.1,false,0.56,0.47,0.71
Player-0016,535,EVEN_STEVEN,GRINDER,0.15,false,0.57,0.53,0.73
Player-0017,186,LOW_ROLLER,LOW_STAKES,0.18,false,0.21,0.14,0.42
Player-0018,366,LOW_ROLLER,LOW_STAKES,0.05,false,0.23,0.17,0.4
Player-0019,150,LOW_ROLLER,LOW_STAKES,0.44,false,0.26,0.19,0.35
Player-0020,471,EVEN_STEVEN,GRINDER,-0.11,false,0.59,0.52,0.78
Player-0021,172,LOW_ROLLER,OBNOXIOUS,-0.22,false,0.16,0.48,0.27
Player-0022,150,LOW_ROLLER,LOW_STAKES,0.14,false,0.23,0.13,0.35
Player-0023,154,LOW_ROLLER,LOW_STAKES,0.18,false,0.3,0.13,0.44
Player-0024,241,LOW_ROLLER,LOW_STAKES,0.24,false,0.25,0.18,0.37
Player-0025,269,LOW_ROLLER,OBNOXIOUS,-0.13,false,0.15,0.47,0.34
Player-0026,421,LOW_ROLLER,LOW_STAKES,-0.24,false,0.2,0.13,0.43
Player-0027,258,LOW_ROLLER,LOW_STAKES,-0.17,false,0.21,0.12,0.44
Player-0028,160,LOW_ROLLER,LOW_STAKES,0.12,false,0.22,0.12,0.42
Player-0029,269,LOW_ROLLER,LOW_STAKES,0.5,false,0.29,0.19,0.41
Player-0030,10205,HIGH_ROLLER,WHALE,0.3,false,0.8,0.92,0.53
Player-0031,768,EVEN_STEVEN,GRINDER,-0.05,false,0.6,0.47,0.74
Player-0032,933,EVEN_STEVEN,LOW_STAKES,0.24,false,0.29,0.11,0.35
Player-0033,1517,EVEN_STEVEN,GRINDER,0.05,false,0.54,0.46,0.72
Player-0034,259,LOW_ROLLER,LOW_STAKES,0.3,false,0.24,0.16,0.41
Player-0035,874,EVEN_STEVEN,LOW_STAKES,0.29,false,0.29,0.19,0.42
Player-0036,289,LOW_ROLLER,LOW_STAKES,0.05,false,0.26,0.13,0.36
Player-0037,493,EVEN_STEVEN,LOW_STAKES,-0.24,false,0.28,0.18,0.38
Player-0038,280,LOW_ROLLER,LOW_STAKES,-0.04,false,0.24,0.17,0.39
Player-0039,1060,EVEN_STEVEN,OBNOXIOUS,0.18,false,0.2,0.45,0.32
Player-0040,12082,HIGH_ROLLER,OBNOXIOUS,-0.13,false,0.22,0.47,0.33
Player-0041,175,LOW_ROLLER,LOW_STAKES,0.04,false,0.24,0.16,0.42
Player-0042,287,LOW_ROLLER,OBNOXIOUS,-0.13,true,0.17,0.47,0.34
Player-0043,174,LOW_ROLLER,LOW_STAKES,-0.01,false,0.22,0.16,0.4
Player-0044,193,LOW_ROLLER,LOW_STAKES,0.33,false,0.27,0.16,0.44
Player-0045,459,EVEN_STEVEN,GRINDER,-0.24,false,0.52,0.55,0.72
Player-0046,226,LOW_ROLLER,OBNOXIOUS,0.2,false,0.18,0.41,0.27
Player-0047,339,LOW_ROLLER,LOW_STAKES,0.32,false,0.21,0.11,0.42
Player-0048,180,LOW_ROLLER,LOW_STAKES,0.24,false,0.29,0.2,0.38
Player-0049,150,LOW_ROLLER,LOW_STAKES,0.08,false,0.22,0.11,0.42
Player-0050,689,EVEN_STEVEN,GRINDER,-0.1,false,0.59,0.54,0.7
Player-0051,20508,HIGH_ROLLER,OBNOXIOUS,-0.08,false,0.23,0.41,0.25
Player-0052,265,LOW_ROLLER,LOW_STAKES,0.47,false,0.25,0.15,0.36
Player-0053,1089,EVEN_STEVEN,GRINDER,0.36,false,0.59,0.48,0.72
Player-0054,178,LOW_ROLLER,LOW_STAKES,-0.13,false,0.26,0.16,0.36
Player-0055,154,LOW_ROLLER,OBNOXIOUS,-0.15,false,0.21,0.46,0.34
Player-0056,336,LOW_ROLLER,LOW_STAKES,0.03,false,0.22,0.11,0.44
Player-0057,466,EVEN_STEVEN,OBNOXIOUS,-0.11,false,0.21,0.48,0.29
Player-0058,12647,HIGH_ROLLER,GRINDER,-0.16,false,0.51,0.5,0.78
Player-0059,887,EVEN_STEVEN,GRINDER,-0.04,false,0.57,0.52,0.76
Player-0060,809,EVEN_STEVEN,GRINDER,0.03,false,0.53,0.54,0.77
Player-0061,634,EVEN_STEVEN,GRINDER,-0.17,false,0.56,0.49,0.75
Player-0062,20522,HIGH_ROLLER,WHALE,0.46,false,0.88,0.98,0.47
Player-0063,299,LOW_ROLLER,OBNOXIOUS,-0.17,true,0.24,0.49,0.28
Player-0064,516,EVEN_STEVEN,OBNOXIOUS,-0.24,false,0.17,0.46,0.25
