replicate,baseline,policy,policy_no_kick
0,47168,26208,23782
1,87401,38204,46193
2,2390,31046,113
3,-1025427,45652,55433
4,71931,27822,37969
5,2688,56795,55861
6,30179,29989,19466
7,29214,4202,78959
8,55869,52036,-16414
9,22250,12334,-305
10,51655,15662,25037
11,48498,-27430,44246
12,29833,57937,-35536
13,-1018,8445,37689
14,53002,34397,67671
15,23786,5710,55849
16,-2198,23450,20011
17,69734,69309,27492
18,20069,17877,55471
19,54253,37599,43913
20,86044,25999,62670
21,-5596,20883,29434
22,30630,32978,32056
23,97367,39666,52847
24,34871,44399,59731
25,29488,43527,-24379
26,77249,25840,68447
27,-960321,97549,21574
28,45421,36758,12787
29,102671,28527,83627
30,22749,35478,76668
31,-64,44063,29797
32,24918,9509,65237
33,15213,103598,81503
34,42748,15367,11884
35,46460,-1038716,50398
36,37329,-4335,28650
37,58884,26922,62051
38,-542,69269,37248
39,21674,27697,46563
40,34794,90476,19063
41,56918,18159,41923
42,28450,-282,76948
43,6210,8461,28798
44,24554,28307,47462
45,25895,33630,90165
46,29880,21000,137858
47,61745,68770,34618
48,73030,52764,50151
49,48259,27041,18933
50,70582,57375,40339
51,72462,24824,17520
52,16842,23462,53216
53,21363,38752,47269
54,-43426,32069,67397
55,-14953,25786,26557
56,63726,35175,47082
57,55075,846,36547
58,8255,13297,23770
59,61164,21026,29813
60,56277,35515,57452
61,6305,77064,11441
62,21205,43550,97668
63,42986,87247,37664
64,48141,49288,96510
65,38899,123564,6032
66,12354,37321,89152
67,55357,40832,79860
68,38476,63011,52297
69,62242,-972112,68231
70,52883,7540,-21437
71,32664,-19323,41240
72,87609,17420,21886
73,32119,81521,39048
74,17282,17888,23837
75,78294,24171,48403
76,-985620,61166,51365
77,61162,11784,6409
78,-14256,96868,80035
79,27845,38376,18767
80,90396,41067,32507
81,40524,-7173,-1080
82,58538,58932,35654
83,-19506,-960,50338
84,24974,51699,62655
85,6828,75721,38261
86,67269,21949,97489
87,40401,20486,26004
88,33110,11749,41275
89,46256,24693,34695
90,61231,47848,124448
91,59228,37096,31735
92,36409,59319,56553
93,33215,31164,-981973
94,81154,17517,20128
95,22550,55502,25655
96,30345,35845,46834
97,45998,98123,5764
98,11722,54954,65359
99,51226,35199,83767
100,73027,8607,-4556
101,51355,54392,61036
102,1288,54074,38375
103,76893,16315,60910
104,124304,22873,42325
105,56430,70775,41809
106,95029,36667,52008
107,24029,7466,44137
108,-4996,-9190,51335
109,40494,33062,95356
110,32974,62467,-23023
111,48747,18786,39026
112,49572,9491,43265
113,10327,89378,71736
114,116282,79195,-7491
115,64872,52856,56090
116,74849,42615,66371
117,20610,17222,28850
118,7318,23554,102605
119,-75854,56077,61860
120,23687,22757,56727
121,21333,28685,52919
122,35839,29974,43401
123,-21021,28983,27926
124,33590,19879,19198
125,-493,71530,52445
126,25032,-35723,779
127,58772,48078,38387
128,15553,11243,6658
129,-16501,37578,58878
130,103689,69734,44087
131,28957,13064,19765
132,48277,14185,-1016723
133,79529,39328,7598
134,-3125,64636,26567
135,-1009127,9145,58377
136,17519,14595,12167
137,17870,42273,27161
138,68809,53615,49211
139,35836,78782,6866
140,47406,43894,98884
141,17570,36834,9667
142,48758,16386,17718
143,73339,-2223,29152
144,49300,53074,53162
145,-30414,55750,-4363
146,20222,65330,56962
147,-10220,45527,-32835
148,34260,37323,6579
149,22742,71645,20157
