replicate,baseline,policy,policy_no_kick
150,28807,-5685,32089
151,33177,50692,67776
152,-4138,-12836,29330
153,27209,62692,46608
154,68496,55965,92238
155,30776,65715,55342
156,37700,5464,87256
157,66706,41924,-2446
158,51127,76417,41292
159,84172,-528,38554
160,-35193,3860,2392
161,74790,-968760,60024
162,13205,49630,12833
163,30823,52463,34384
164,49323,26598,84777
165,14692,54447,59243
166,31351,52460,58147
167,52807,68699,12793
168,11637,34838,39208
169,-23133,14352,23614
170,26124,17599,7824
171,17828,23704,50652
172,72836,71975,50865
173,27727,80372,32584
174,25542,30694,57571
175,88651,43579,70134
176,81670,37758,84670
177,2168,56169,33265
178,23677,46036,30257
179,25298,76755,-945287
180,40438,51889,-723
181,17170,43109,117545
182,8904,60520,50870
183,28428,107194,16529
184,49307,-1302,18150
185,39173,47007,25836
186,-5495,37504,35080
187,25831,4152,54829
188,65847,9595,50973
189,48478,-4592,-735
190,33988,43430,41970
191,-26025,53568,46839
192,-970234,25481,51801
193,23801,16047,-77751
194,25730,39032,44696
195,14539,60746,36287
196,40198,16864,108267
197,10958,34707,41293
198,34401,8789,-2246
199,29948,59250,20409
200,-4501,76831,-1008498
201,21057,24546,36043
202,34793,-9292,67553
203,55537,76140,-1040
204,51321,40099,41887
205,17062,52671,51616
206,72222,3128,44244
207,48009,60452,60588
208,48141,45731,-28565
209,39127,15131,51392
210,70541,52636,45262
211,60990,47330,70523
212,70500,62833,16618
213,-10630,11838,55279
214,-32693,29956,96080
215,-7641,23352,15147
216,84831,27202,47368
217,33521,13145,-1801
218,24713,66135,41708
219,6632,7876,29350
220,28298,38499,24037
221,-1963,71979,-22692
222,51013,41172,45338
223,64449,36827,-14290
224,76901,52404,45849
225,-6369,2394,72170
226,55219,15425,26996
227,-1742,41237,43278
228,34868,28383,68281
229,45339,-8731,41611
230,45083,41780,68885
231,97178,66520,36732
232,65003,5906,43235
233,47241,65537,58013
234,68553,71143,44507
235,89809,-1008186,10419
236,25217,23175,49296
237,66518,26549,54843
238,45960,70382,5963
239,7769,45129,-1500
240,36537,1664,95312
241,21890,-981544,54668
242,25928,88084,-5271
243,-3599,83081,30717
244,18875,31937,61495
245,26267,40607,40027
246,42898,21888,42386
247,1380,85537,33083
248,26431,20742,47050
249,-990773,37324,-27072
250,-8316,2802,29541
251,72048,11992,36208
252,24850,25973,38279
253,70640,54062,70904
254,58488,64193,79599
255,78753,2700,37019
256,134816,14679,52285
257,10680,64396,39486
258,29334,-967652,125076
259,51683,37150,55983
260,31113,49592,64680
261,11416,58678,86622
262,19149,36363,98758
263,-20520,35930,111896
264,11392,-4346,34425
265,49217,17288,80327
266,68985,36947,58631
267,42534,48170,55819
268,53745,14303,62033
269,-11133,70692,23639
270,34927,95921,49576
271,34117,77026,30116
272,62239,59287,-964262
273,39834,37873,16758
274,42491,34819,39895
275,21111,28906,27160
276,36226,90350,33899
277,15064,12008,20920
278,59545,39059,32977
279,21325,20465,54589
280,46775,-7236,-38872
281,45397,75016,67163
282,69129,36459,4503
283,4405,16715,-29436
284,23253,86955,41073
285,32065,20444,40285
286,54845,42798,44683
287,-9154,54452,31483
288,-21155,67610,8350
289,26798,45965,43204
290,42849,11289,62846
291,77023,52695,39758
292,77510,89292,7630
293,45851,41730,59530
294,21041,83517,98675
295,370,13914,44903
296,21846,38628,86572
297,-14554,24828,-11137
298,64236,3640,50588
299,37865,46166,-23314
