======================================================================
150-REPLICATE EVALUATION: BASELINE vs. GBM POLICY
500 players (fixed population), 200 rounds, intervention every 10 rounds
======================================================================

BASELINE (no intervention) (n=150):
  mean:   $28,503
  median: $32,310
  stdev:  $84,357
  min:    $-941,027
  max:    $125,902
  25th pct: $15,112   75th pct: $52,619
  profitable runs: 140/150 (93%)

POLICY (GBM model deciding STAY/MOVE/KICK) (n=150):
  mean:   $27,799
  median: $31,687
  stdev:  $86,815
  min:    $-961,110
  max:    $105,756
  25th pct: $15,805   75th pct: $55,512
  profitable runs: 131/150 (87%)

Head-to-head: policy beat baseline in 76/150 replicates (51%)

--- Statistical comparison ---
WITH outliers (n=150): baseline mean=$28,503 policy mean=$27,799 diff=$704
  t=0.071 df=297.8 p=0.943 95% CI=($-18,747, $20,154)

WITHOUT outliers (excludes 2 slot-jackpot events, 1 per condition) (n=148): baseline mean=$34,926 policy mean=$34,022 diff=$904
  t=0.268 df=291.9 p=0.789 95% CI=($-5,748, $7,556)

--- Outliers found ---
  replicate 1: baseline=$-941,027 policy=$95,746
  replicate 136: baseline=$47,401 policy=$-961,110
  Cause: Slots.java has a hardcoded $1,000,000 jackpot (odds ~1-in-2.7M per spin).
  Confirmed by direct inspection: one slot machine alone lost -$1,022,610 in a
  reproduced extreme run, accounting for nearly the entire outlier by itself.

--- Conclusion ---
No statistically significant difference between baseline and policy.
Outlier-excluded 95% CI for the difference is tight (~$6,650 wide) and centered
near zero (p=0.789) -- with 150 replicates of statistical power, this rules out
a meaningful profit effect, positive or negative, from using this policy in this
scenario. A small effect within that CI can't be ruled out, but wouldn't be
practically significant.

--- Raw per-replicate results ---
 rep     baseline       policy
   0      125,902       29,799
   1     -941,027       95,746
   2      -26,654       35,816
   3      -18,218       50,479
   4       29,272       31,977
   5       68,493       59,292
   6       67,428       23,845
   7       32,997       49,481
   8       15,813      -17,849
   9       28,662       -4,180
  10       33,681        2,526
  11       26,199       23,666
  12       64,626       30,239
  13       -9,365       67,428
  14          643       22,571
  15       34,871       52,501
  16       32,444       24,229
  17       23,690       -2,798
  18       78,741       49,345
  19        8,292       59,680
  20        8,485       12,014
  21       27,485       29,272
  22       11,241       35,448
  23       33,978       76,476
  24        1,890       12,417
  25       59,543       48,984
  26       79,667       17,724
  27       15,513       55,512
  28       15,112       35,816
  29       90,596       15,805
  30       44,059       34,134
  31       65,112       26,692
  32       27,788        3,429
  33       44,643       33,638
  34        3,521       41,234
  35       35,195       25,152
  36       -2,507       83,931
  37       16,084       78,317
  38       72,622         -145
  39      -30,198       55,093
  40       22,377       63,286
  41      102,005       63,914
  42       39,201       60,367
  43       18,441       60,883
  44       35,117        6,439
  45       43,777       36,651
  46       52,619       37,889
  47       56,785       -8,089
  48       20,015       10,966
  49        1,592       31,452
  50       38,117       47,985
  51       22,519      -20,851
  52       61,128        8,710
  53       52,810       64,505
  54        5,183      105,755
  55       12,899       17,593
  56       35,456       53,298
  57       10,933      -31,019
  58       30,566       31,564
  59       47,615       61,934
  60       24,177       29,254
  61       49,905       39,745
  62       38,508       27,922
  63       29,554       43,384
  64       32,541       42,219
  65       13,895       66,618
  66       66,396       64,116
  67       12,446       -8,160
  68       41,011       31,481
  69       45,844       68,749
  70       55,313       72,706
  71        1,926       33,072
  72       64,353      -39,615
  73       -8,277       18,848
  74       21,532       14,670
  75       48,288       68,808
  76       57,637      -10,896
  77       23,215       40,968
  78      -15,379       63,462
  79       13,951       90,698
  80       16,283       28,683
  81       27,939       17,053
  82       13,288      -36,352
  83       53,715       28,150
  84       18,663       52,272
  85       41,694       14,196
  86       62,025       33,179
  87       61,420       54,537
  88       18,238       29,835
  89       63,931       35,262
  90       31,718       37,155
  91       12,525        4,118
  92        6,760       30,522
  93       72,849       26,662
  94       12,062       23,471
  95       18,414        7,189
  96        4,555       28,743
  97       57,463       -5,335
  98       54,082       24,254
  99      123,124       89,816
 100       87,139       40,578
 101       42,630       43,231
 102       55,853       32,430
 103       16,841       19,349
 104       51,237       61,285
 105       33,093       28,537
 106       36,632       56,475
 107       97,202       64,762
 108       25,942      -25,102
 109       33,229       29,296
 110       10,081       52,879
 111       18,262       25,615
 112       14,484       28,228
 113       35,173       12,516
 114       29,617       18,296
 115       27,029       68,335
 116        6,696      100,286
 117       64,504       67,428
 118        8,335       14,065
 119       36,430       31,810
 120       15,103       68,234
 121       44,691      -33,366
 122       61,808      -15,560
 123        5,047       86,250
 124       23,875       26,382
 125       10,179       19,303
 126       34,822       41,080
 127       72,195       36,957
 128       50,801       51,777
 129       35,782      -54,732
 130       48,865       74,349
 131       39,070       14,975
 132       80,746       26,523
 133       14,094          164
 134       22,094      101,689
 135       72,769        7,024
 136       47,401     -961,110
 137       33,681       10,356
 138       23,562       22,875
 139       32,139      -13,719
 140       47,810       73,159
 141       67,851       12,043
 142       30,656       43,610
 143       -7,121      105,756
 144       65,857       -3,421
 145      113,041       58,513
 146       18,286       40,131
 147       -4,067       78,510
 148       32,177       70,733
 149       18,748       21,651
