gameType,countGrinder,countObnoxious,countWhale,countLowStakes,avgBankroll,candidateBehaviorStyle,candidateBankrollStyle,candidateBalance,deltaMood,deltaProfit
Poker,2,1,0,1,3182.2500,LOW_STAKES,LOW_ROLLER,455,0.008357333333333333,107.72666666666667
Poker,1,0,1,1,14258.3333,OBNOXIOUS,LOW_ROLLER,478,-0.052852333333333334,51.41
Blackjack,2,0,0,0,18183.0000,LOW_STAKES,LOW_ROLLER,164,0.029530333333333332,-4220.803333333333
Blackjack,1,2,0,0,4596.3333,GRINDER,HIGH_ROLLER,10693,0.011818,1176.0533333333333
Roulette,1,0,0,0,15499.0000,LOW_STAKES,LOW_ROLLER,543,0.02840133333333333,-2005.3
Craps,0,2,1,3,3927.1667,LOW_STAKES,EVEN_STEVEN,1593,0.008079666666666666,-1754.5
Poker,2,0,0,2,8797.7500,WHALE,HIGH_ROLLER,18641,-0.022735333333333333,2626.05
Roulette,1,2,0,0,7635.3333,LOW_STAKES,LOW_ROLLER,499,0.040993999999999996,-1863.38
Poker,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,17987,0.0,0.0
Blackjack,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,24372,0.0,6632.61
Blackjack,0,0,0,1,1494.0000,GRINDER,HIGH_ROLLER,9896,-0.023137666666666667,-1062.6866666666667
Blackjack,1,0,2,1,6896.0000,OBNOXIOUS,HIGH_ROLLER,8446,-0.04253133333333333,1775.13
Craps,0,1,3,2,4136.6667,LOW_STAKES,LOW_ROLLER,536,0.020392333333333335,-2444.786666666667
Roulette,1,1,1,0,5426.3333,OBNOXIOUS,HIGH_ROLLER,4216,-0.020100333333333335,-12.71
Poker,0,2,2,0,7406.2500,GRINDER,HIGH_ROLLER,23677,-0.21583433333333332,2596.6633333333334
Craps,1,0,0,0,14033.0000,WHALE,HIGH_ROLLER,21764,0.055933333333333335,11576.54
Roulette,0,0,0,0,0.0000,GRINDER,EVEN_STEVEN,532,0.0,18.066666666666666
Roulette,0,0,0,0,0.0000,LOW_STAKES,LOW_ROLLER,412,0.0,-47.88666666666666
Craps,0,0,0,0,0.0000,LOW_STAKES,LOW_ROLLER,550,0.0,26.593333333333334
Poker,2,2,1,2,5758.8571,OBNOXIOUS,LOW_ROLLER,587,-0.014758666666666666,440.9166666666667
Poker,0,0,0,0,0.0000,OBNOXIOUS,LOW_ROLLER,300,0.0,0.0
Roulette,1,2,1,1,2953.6000,WHALE,HIGH_ROLLER,7476,-0.012961666666666666,4274.253333333333
Roulette,0,0,2,0,14191.0000,OBNOXIOUS,EVEN_STEVEN,1086,-0.13016,2329.3633333333332
Blackjack,0,0,0,0,0.0000,LOW_STAKES,EVEN_STEVEN,1091,0.0,206.06666666666666
Blackjack,1,2,0,0,19757.0000,LOW_STAKES,LOW_ROLLER,419,0.005043999999999999,1639.98
Roulette,3,1,1,0,7307.8000,WHALE,HIGH_ROLLER,7410,0.025665333333333335,-2301.06
Roulette,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,17115,0.0,1833.32
Blackjack,0,0,2,0,18072.0000,LOW_STAKES,LOW_ROLLER,415,-0.07034733333333333,1183.33
Blackjack,0,0,0,0,0.0000,OBNOXIOUS,LOW_ROLLER,298,0.0,-1.3366666666666667
Blackjack,0,0,0,0,0.0000,OBNOXIOUS,LOW_ROLLER,599,0.0,-8.156666666666666
Roulette,0,1,0,0,17996.0000,WHALE,HIGH_ROLLER,15571,-0.05593733333333334,4193.8133333333335
Poker,0,1,0,0,521.0000,WHALE,HIGH_ROLLER,17822,-0.9737466666666668,221.46
Craps,1,0,1,1,8472.6667,LOW_STAKES,EVEN_STEVEN,714,0.013233666666666668,162.96333333333334
Roulette,0,0,1,1,11846.5000,WHALE,HIGH_ROLLER,12852,0.007082666666666665,1109.6233333333332
Poker,0,0,0,0,0.0000,LOW_STAKES,LOW_ROLLER,390,0.0,0.0
Poker,0,0,1,1,7410.5000,OBNOXIOUS,HIGH_ROLLER,8459,-0.023560666666666674,1391.7566666666667
Roulette,0,1,1,0,20305.5000,GRINDER,EVEN_STEVEN,1126,0.077198,-5129.48
Roulette,1,1,0,0,713.0000,LOW_STAKES,LOW_ROLLER,541,0.017446666666666666,-325.70666666666665
Craps,2,0,3,1,7435.6667,LOW_STAKES,LOW_ROLLER,155,-0.018470666666666666,3253.556666666667
Blackjack,1,1,0,0,4951.5000,WHALE,HIGH_ROLLER,15453,0.068508,5147.673333333333
Poker,0,0,0,0,0.0000,LOW_STAKES,EVEN_STEVEN,484,0.0,0.0
Roulette,1,0,0,0,20112.0000,WHALE,HIGH_ROLLER,5599,0.07734666666666667,893.2566666666667
Poker,1,0,1,1,9110.6667,GRINDER,HIGH_ROLLER,21608,-0.051844,2480.7933333333335
Craps,1,1,1,1,4032.0000,OBNOXIOUS,HIGH_ROLLER,18379,-0.018796666666666666,3295.9266666666667
Roulette,0,1,0,0,528.0000,WHALE,HIGH_ROLLER,21040,0.05431266666666667,1580.4566666666667
Poker,0,0,0,0,0.0000,GRINDER,EVEN_STEVEN,467,0.0,0.0
Roulette,1,1,0,1,3093.0000,WHALE,HIGH_ROLLER,4609,-0.012001666666666666,1108.4166666666667
Craps,1,2,3,0,9590.1667,OBNOXIOUS,EVEN_STEVEN,996,-0.031825,4153.3
Craps,1,3,1,1,3011.3333,WHALE,HIGH_ROLLER,23628,-0.004379666666666666,6712.143333333333
Roulette,0,1,0,0,524.0000,OBNOXIOUS,LOW_ROLLER,538,0.039207,-330.16
Roulette,0,0,0,1,187.0000,LOW_STAKES,LOW_ROLLER,202,-0.06691233333333332,80.86333333333333
Blackjack,0,0,0,1,558.0000,WHALE,HIGH_ROLLER,11436,0.019085666666666667,4800.856666666667
Roulette,1,0,2,0,13269.3333,GRINDER,HIGH_ROLLER,4347,-0.03770333333333333,4026.2766666666666
Blackjack,0,2,2,0,6588.5000,LOW_STAKES,EVEN_STEVEN,683,-0.033399666666666675,1957.5066666666667
Roulette,1,0,1,0,7013.5000,WHALE,HIGH_ROLLER,12466,0.04918466666666667,-541.6333333333333
Roulette,0,0,0,2,929.0000,WHALE,HIGH_ROLLER,7942,0.002289666666666667,463.21
Blackjack,0,1,0,1,868.5000,LOW_STAKES,EVEN_STEVEN,1111,0.018335333333333335,293.85
Roulette,1,1,1,2,6405.8000,OBNOXIOUS,LOW_ROLLER,491,-0.023674666666666667,804.59
Roulette,3,1,0,1,2767.6000,OBNOXIOUS,HIGH_ROLLER,3960,-0.00882266666666667,-69.17
Craps,1,1,3,1,8306.8333,GRINDER,HIGH_ROLLER,9270,0.004890000000000001,2845.5
Roulette,1,1,0,0,843.5000,LOW_STAKES,EVEN_STEVEN,883,-0.0025953333333333314,-100.98666666666666
Poker,0,0,0,0,0.0000,LOW_STAKES,EVEN_STEVEN,1022,0.0,0.0
Blackjack,1,1,2,0,17329.5000,OBNOXIOUS,LOW_ROLLER,277,-0.007109333333333332,899.9533333333334
Roulette,1,2,1,0,8962.5000,LOW_STAKES,EVEN_STEVEN,924,0.0009626666666666662,773.8933333333333
Craps,2,1,1,2,8979.5000,OBNOXIOUS,HIGH_ROLLER,17757,0.0023486666666666677,1505.6966666666667
Roulette,0,1,0,1,4553.5000,OBNOXIOUS,HIGH_ROLLER,15811,0.046785,923.6666666666666
Blackjack,0,1,1,0,12297.5000,LOW_STAKES,LOW_ROLLER,315,-0.011062333333333334,690.11
Poker,1,1,1,1,8540.7500,OBNOXIOUS,EVEN_STEVEN,966,-0.023835333333333333,207.09333333333333
Roulette,3,1,1,0,11984.8000,LOW_STAKES,LOW_ROLLER,321,-0.022003,3602.5033333333336
Poker,0,0,0,0,0.0000,OBNOXIOUS,HIGH_ROLLER,19130,0.0,0.0
Blackjack,0,1,0,0,369.0000,GRINDER,HIGH_ROLLER,5946,-0.017038666666666667,283.32666666666665
Blackjack,1,0,0,0,4190.0000,OBNOXIOUS,LOW_ROLLER,190,-0.027012333333333333,-592.6966666666667
Blackjack,0,0,0,0,0.0000,LOW_STAKES,LOW_ROLLER,495,0.0,52.7
Poker,0,0,0,0,0.0000,OBNOXIOUS,LOW_ROLLER,559,0.0,0.0
Blackjack,0,1,0,3,832.2500,LOW_STAKES,LOW_ROLLER,516,0.036610666666666666,-11.193333333333333
Craps,2,0,3,2,9533.1429,WHALE,HIGH_ROLLER,4131,-0.022944666666666665,8247.506666666666
Poker,1,1,0,1,2273.0000,GRINDER,EVEN_STEVEN,728,-0.055424333333333325,242.15333333333334
Roulette,2,0,1,0,10214.0000,WHALE,HIGH_ROLLER,17861,0.051988000000000006,273.84
Craps,0,0,0,1,1238.0000,LOW_STAKES,EVEN_STEVEN,1292,0.03967433333333333,194.06
Roulette,1,1,0,2,6059.7500,OBNOXIOUS,LOW_ROLLER,420,-0.016841333333333333,-940.51
Roulette,2,0,0,2,4617.5000,WHALE,HIGH_ROLLER,19747,0.008598,4179.05
Craps,1,0,0,0,665.0000,LOW_STAKES,EVEN_STEVEN,1519,-0.005232000000000001,219.03333333333333
Poker,0,1,0,0,1690.0000,WHALE,HIGH_ROLLER,9859,-0.7411453333333333,469.72333333333336
Craps,1,4,0,0,4700.0000,WHALE,HIGH_ROLLER,3468,-0.006414999999999999,3988.0466666666666
Roulette,1,0,2,0,10381.6667,GRINDER,HIGH_ROLLER,5102,-0.023936333333333334,2734.58
Poker,0,0,0,1,345.0000,LOW_STAKES,LOW_ROLLER,296,0.041169,37.78
Craps,2,0,3,1,9456.6667,WHALE,HIGH_ROLLER,12601,0.006800666666666667,5770.206666666667
Poker,1,2,1,1,6241.4000,WHALE,HIGH_ROLLER,18382,-0.09056133333333334,2351.1066666666666
Poker,2,0,1,1,11830.0000,OBNOXIOUS,EVEN_STEVEN,1177,-0.03473166666666667,159.67666666666668
Poker,0,2,1,0,6401.6667,LOW_STAKES,EVEN_STEVEN,755,-0.013053333333333333,374.3933333333333
Roulette,1,0,0,1,4753.5000,WHALE,HIGH_ROLLER,20370,0.059902000000000004,-208.09333333333333
Blackjack,0,0,0,1,599.0000,OBNOXIOUS,LOW_ROLLER,163,-0.154981,-5.516666666666667
Roulette,0,0,0,0,0.0000,OBNOXIOUS,EVEN_STEVEN,1575,0.0,523.4
Roulette,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,18437,0.0,3411.44
Poker,1,0,0,1,1055.0000,OBNOXIOUS,HIGH_ROLLER,22336,-0.2770066666666667,926.8266666666667
Craps,1,1,0,1,3748.3333,LOW_STAKES,EVEN_STEVEN,501,0.016931333333333333,-141.80666666666667
Poker,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,3283,0.0,0.0
Craps,0,1,4,1,10228.0000,OBNOXIOUS,LOW_ROLLER,209,0.009709666666666669,-642.1666666666666
Craps,2,1,1,1,6004.8000,GRINDER,EVEN_STEVEN,1456,-0.012483666666666665,2660.1233333333334
Poker,2,1,1,0,4562.0000,OBNOXIOUS,HIGH_ROLLER,4734,-0.063712,917.09
Poker,3,2,1,0,8961.3333,GRINDER,EVEN_STEVEN,1638,-0.017857,348.1766666666667
Craps,0,0,0,0,0.0000,GRINDER,HIGH_ROLLER,21758,0.0,2992.06
Craps,0,1,0,1,955.5000,OBNOXIOUS,LOW_ROLLER,239,-0.03478266666666667,61.50666666666667
Roulette,0,0,0,0,0.0000,OBNOXIOUS,HIGH_ROLLER,6691,0.0,-51.22
Roulette,1,1,0,0,10497.0000,OBNOXIOUS,HIGH_ROLLER,13853,0.03228933333333333,-307.0933333333333
